Mission,Location,Terrain,Year,Type of mission,Test,Test location ,Bulk density (g/cm^3),Angle of internal friction (degree),Cohesion (kPa),Static bearing capacity (kPa),Original source, DOI / URL
Surveyor I,2.474S 43.339W,Mare,1966,Lander,Spacecraft touchdown analysis ,In-Situ,1.5,30 - 40,0.14 - 0.35,40,"Surveyor I Mission Report part II: Scientific Data and Results, Technical Report 32-1023. Jet Propulsion Laboratory, 1966",https://ntrs.nasa.gov/api/citations/19670000738/downloads/19670000738.pdf
Surveyor III,3.0S 23.41W,Mare,1967,Lander,Spacecraft touchdown analysis ,In-Situ,1.5,35 - 40,0.15 - 0.7,20 - 60,"Surveyor III Mission Report part II: scientific results, technical report 32-1177, Jet Propulsion Laboratory, 1967",https://ntrs.nasa.gov/api/citations/19670028832/downloads/19670028832.pdf
Surveyor V,1.42N 23.20E,Mare,1967,Lander,Spacecraft touchdown analysis ,In-Situ,1.1,35,0.143,27,"Surveyor V Mission Report part II: science results, technical report 32-1246, Jet Propulsion Laboratory, 1967",https://ntrs.nasa.gov/citations/19680003577
Surveyor VI,0.473N 1.427W,Mare,1967,Lander,Spacecraft touchdown analysis ,In-Situ,0.7-1.2,30 - 35,0.07-1.7,34,"Surveyor VI Mission Report part II: science results, technical report 32-1262, Jet Propulsion Laboratory, 1968",https://ntrs.nasa.gov/citations/19680011500
Surveyor VII,40.97S 11.44W,Highland,1968,Lander,Trench experiment,In-Situ,1.5,37-39,0.35-0.7,21,"Surveyor VII Mission Report part II: science results, technical report 32-1264, Jet Propulsion Laboratory, 1968",https://ntrs.nasa.gov/citations/19680028774
Luna 9,7.13N 64.37W,Mare,1966,Lander,Optical,In-Situ,NA,NA,NA,NA,"Preliminary analysis of Luna 9, Scientific intelligence digest, 1966, CIA",https://nsarchive2.gwu.edu/NSAEBB/NSAEBB479/docs/EBB-Moon07.pdf
Luna 13,18.867N 62.050W,Mare,1966,Lander,Penetrometer,In-Situ,0.8,32,0.49,68,"I. I. Cherkasov, V.V. Shvarev, Soviet investigations of the mechanics of lunar soils, 1973",10.1007/BF01704945
Luna 16,47.24N 68.36E,Mare,1970,Lander,Sample return,On Earth,1.26,29.3 - 35.3,2.94 - 0.98,NA,"V. I. Dnizhininskaya, V. V. Markachev, Preliminary results of the lunar regolith mechanical studies, 1971",https://www.mathnet.ru/links/621d7649e8d4c5db0966a8747fe7315a/dan36374.pdf
Luna 17,38.2376N 35.00163W,Mare,1970,Rover,Penetrometer,In-Situ,NA,22.5,5,33.34,"I. I. Cherkasov, V.V. Shvarev, Soviet investigations of the mechanics of lunar soils, 1973",10.1007/BF01704945
Luna 20,3.7863N 56.6242E,Highland,1972,Lander,Sample return,On Earth,1,22.3 - 26.6,4.41 - 4.9,NA,"E. Slyuta, Physical and mechanical properties of the lunar soil, Solar System Research,2014",10.1134/S0038094614050050
Luna 21,25.9994N 30.4076E,Mare,1973,Rover,Rover tracks,In-Situ,NA,20,0.4,27.32,"I. I. Cherkasov, V. V. Shvarev, New Soviet investigations of lunar soil and its analogs, 1977",10.1007/BF02093004
