Mission;Sample;serial number;return container;Container;Sample type;weight (g)
Apollo 11;10001;NA;ALSRC1004;NA;fines;181.9
Apollo 11;10002;NA;ALSRC1003;NA;rocks & fines;5629.00
Apollo 11;10003;NA;ALSRC1004;NA;Basalt;213.00
Apollo 11;10004;1;ALSRC1004;Drive tube;Core;44.8
Apollo 11;10005;2;ALSRC1004;Drive tube;Core;53.4
Apollo 11;10008;NA;ALSRC1004;NA;Fines;89.00
Apollo 11;10009;NA;ALSRC1004;NA;Breccia;112.00
Apollo 11;10010;NA;contingency bag;NA;Fines;491.00
Apollo 11;10011;NA;ALSRC1004;NA;Fines;82.6
Apollo 11;10014;NA;ALSRC1004;NA;Fines;50.00
Apollo 11;10015;NA;ALSRC1004;Gas reaction cell;Gas reaction cell;0.396
Apollo 11;10017;NA;ALSRC1004;NA;Basalt;973.00
Apollo 11;10018;NA;ALSRC1004;NA;Breccia;213.00
Apollo 11;10019;NA;ALSRC1004;NA;Breccia;297.00
Apollo 11;10020;NA;ALSRC1004;NA;Basalt;425.00
Apollo 11;10021;NA;contingency bag;NA;Breccia;250.00
Apollo 11;10022;NA;contingency bag;NA;Breccia;95.59
Apollo 11;10023;NA;contingency bag;NA;Basalt;66.00
Apollo 11;10024;NA;contingency bag;NA;Breccia;68.12
Apollo 11;10025;NA;contingency bag;NA;Basalt;8.59
Apollo 11;10026;NA;contingency bag;NA;Breccia;9.3
Apollo 11;10027;NA;contingency bag;NA;Breccia;8.87
Apollo 11;10028;NA;contingency bag;NA;Breccia;3.53
Apollo 11;10029;NA;contingency bag;NA;Basalt;5.53
Apollo 11;10030;NA;contingency bag;NA;Breccia;1.81
Apollo 11;10031;NA;contingency bag;NA;Basalt;2.7
Apollo 11;10032;NA;contingency bag;NA;Basalt;3.13
Apollo 11;10033;NA;contingency bag;NA;Fines;1.12
Apollo 11;10044;NA;ALSRC1003;NA;Basalt;247.5
Apollo 11;10045;NA;ALSRC1003;NA;Basalt;185.5
Apollo 11;10046;NA;ALSRC1003;NA;Breccia;663.00
Apollo 11;10047;NA;ALSRC1003;NA;Basalt;138.00
Apollo 11;10048;NA;ALSRC1003;NA;Breccia;579.00
Apollo 11;10049;NA;ALSRC1003;NA;Basalt;193.00
Apollo 11;10050;NA;ALSRC1003;NA;Basalt;114.5
Apollo 11;10054;NA;ALSRC1003;NA;Fines;202.1
Apollo 11;10056;NA;ALSRC1003;NA;Breccia;186.00
Apollo 11;10057;NA;ALSRC1003;NA;Basalt;919.00
Apollo 11;10058;NA;ALSRC1003;NA;Basalt;282.00
Apollo 11;10059;NA;ALSRC1003;NA;Breccia;188.00
Apollo 11;10060;NA;ALSRC1004;NA;Breccia;722.00
Apollo 11;10061;NA;ALSRC1004;NA;Breccia;346.00
Apollo 11;10062;NA;ALSRC1004;NA;Basalt;78.5
Apollo 11;10063;NA;ALSRC1004;NA;Breccia;148.00
Apollo 11;10064;NA;ALSRC1004;NA;Breccia;65.00
Apollo 11;10065;NA;ALSRC1004;NA;Breccia;347.00
Apollo 11;10066;NA;ALSRC1004;NA;Breccia;40.00
Apollo 11;10067;NA;ALSRC1004;NA;Breccia;69.3
Apollo 11;10068;NA;ALSRC1004;NA;Breccia;218.00
Apollo 11;10069;NA;ALSRC1004;NA;Basalt;119.5
Apollo 11;10070;NA;ALSRC1004;NA;Breccia;64.00
Apollo 11;10071;NA;ALSRC1004;NA;Basalt;189.5
Apollo 11;10072;NA;ALSRC1004;NA;Gabbro;447.00
Apollo 11;10073;NA;ALSRC1004;NA;Breccia;124.5
Apollo 11;10074;NA;ALSRC1004;NA;Breccia;55.5
Apollo 11;10075;NA;ALSRC1004;NA;Breccia;53.00
Apollo 11;10082;NA;ALSRC1004;NA;Breccia;50.5
Apollo 11;10084;NA;ALSRC1003;NA;Fines;3830.00
Apollo 11;10085;NA;ALSRC1003;NA;Fines;569.00
Apollo 11;10086;NA;ALSRC1003;NA;Fines;823.00
Apollo 11;10087;NA;ALSRC1003;NA;Chips & fines;17.4
Apollo 11;10089;NA;ALSRC1003;NA;Fines;50.00
Apollo 11;10090;NA;ALSRC1003;NA;Fines;12.00
Apollo 11;10091;NA;ALSRC1003;NA;Breccia;23.9
Apollo 11;10092;NA;ALSRC1003;NA;Basalt;46.00
Apollo 11;10093;NA;ALSRC1004;NA;Breccia;26.00
Apollo 11;10094;NA;ALSRC1004;NA;Breccia;25.00
Apollo 12;12001;NA;selected sample;NA;fines;2216.00
Apollo 12;12002;NA;selected sample;NA;medium-grained vuggy crystalline igneous rocks;1529.5
Apollo 12;12003;NA;selected sample;NA;fines;300.00
Apollo 12;12004;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;585.00
Apollo 12;12005;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;482.00
Apollo 12;12006;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;206.4
Apollo 12;12007;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;65.2
Apollo 12;12008;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;58.4
Apollo 12;12009;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;468.2
Apollo 12;12010;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;360.00
Apollo 12;12011;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;193.00
Apollo 12;12012;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;176.2
Apollo 12;12013;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;82.3
Apollo 12;12014;NA;selected sample;NA;medium-grained vuggy crystalline igneous rocks;159.4
Apollo 12;12015;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;191.2
Apollo 12;12016;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;2028.3
Apollo 12;12017;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;53.00
Apollo 12;12018;NA;selected sample;NA;medium-grained vuggy crystalline igneous rocks;787.00
Apollo 12;12019;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;462.4
Apollo 12;12020;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;312.00
Apollo 12;12021;NA;selected sample;NA;medium-grained vuggy crystalline igneous rocks;1876.6
Apollo 12;12022;NA;selected sample;NA;medium-grained vuggy crystalline igneous rocks;1864.3
Apollo 12;12023;NA;special samples;LESC;fines;269.3
Apollo 12;12024;NA;special samples;GASC;fines;56.5
Apollo 12;12025;2010;special samples;Drive tube;fines;56.1
Apollo 12;12026;2013;special samples;Drive tube;fines;101.4
Apollo 12;12027;2011;special samples;Drive tube;fines;80.00
Apollo 12;12028;2012;special samples;Drive tube;fines;189.6
Apollo 12;12029;NA;special samples;NA;fines;6.5
Apollo 12;12030;NA;documented sample;bag 1-D;fines;75.00
Apollo 12;12031;NA;documented sample;bag 3-D;medium-grained vuggy crystalline igneous rocks;185.00
Apollo 12;12032;NA;documented sample;bag 4-D;fines;310.5
