Mission;Sample;Subsample;depth (cm);Sieve size (µm);weight %;D50 (µm);Source
Apollo 11;10084;"10084;79";;10000.0;0.0;65.06; "J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 11;10084;"10084;79";;4000.0;0.0;65.06; "J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 11;10084;"10084;79";;1000.0;10.99;65.06; "J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 11;10084;"10084;79";;500.0;5.35;65.06; "J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 11;10084;"10084;79";;250.0;6.43;65.06; "J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 11;10084;"10084;79";;100.0;13.86;65.06; "J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 11;10084;"10084;79";;75.0;8.41;65.06; "J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 11;10084;"10084;79";;37.0;17.33;65.06; "J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 11;10084;"10084;79";;27.0;12.87;65.06;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 11;10084;"10084;79";;16.0;12.38;65.06;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 11;10084;"10084;79";;10.0;5.45;65.06;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 11;10084;"10084;79";;70.0;2.97;65.06;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 11;10084;"10084;79";;10.0;2.97;65.06;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 12;12001;"12001;7";;10000.0;0.0;70.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 12;12001;"12001;7";;1000.0;1.69;70.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
