sample ID;serial number;return container;Container;Sample type;weight (g)
10001;NA;ALSRC1004;NA;fines;181.9
10002;NA;ALSRC1003;NA;rocks & fines;5629.00
10003;NA;ALSRC1004;NA;Basalt;213.00
10004;1;ALSRC1004;Drive tube;Core;44.8
10005;2;ALSRC1004;Drive tube;Core;53.4
10008;NA;ALSRC1004;NA;Fines;89.00
10009;NA;ALSRC1004;NA;Breccia;112.00
10010;NA;contingency bag;NA;Fines;491.00
10011;NA;ALSRC1004;NA;Fines;82.6
10014;NA;ALSRC1004;NA;Fines;50.00
10015;NA;ALSRC1004;Gas reaction cell;Gas reaction cell;0.396
10017;NA;ALSRC1004;NA;Basalt;973.00
10018;NA;ALSRC1004;NA;Breccia;213.00
10019;NA;ALSRC1004;NA;Breccia;297.00
10020;NA;ALSRC1004;NA;Basalt;425.00
10021;NA;contingency bag;NA;Breccia;250.00
10022;NA;contingency bag;NA;Breccia;95.59
10023;NA;contingency bag;NA;Basalt;66.00
10024;NA;contingency bag;NA;Breccia;68.12
10025;NA;contingency bag;NA;Basalt;8.59
10026;NA;contingency bag;NA;Breccia;9.3
10027;NA;contingency bag;NA;Breccia;8.87
10028;NA;contingency bag;NA;Breccia;3.53
10029;NA;contingency bag;NA;Basalt;5.53
10030;NA;contingency bag;NA;Breccia;1.81
10031;NA;contingency bag;NA;Basalt;2.7
10032;NA;contingency bag;NA;Basalt;3.13
10033;NA;contingency bag;NA;Fines;1.12
10044;NA;ALSRC1003;NA;Basalt;247.5
10045;NA;ALSRC1003;NA;Basalt;185.5
10046;NA;ALSRC1003;NA;Breccia;663.00
10047;NA;ALSRC1003;NA;Basalt;138.00
10048;NA;ALSRC1003;NA;Breccia;579.00
10049;NA;ALSRC1003;NA;Basalt;193.00
10050;NA;ALSRC1003;NA;Basalt;114.5
10054;NA;ALSRC1003;NA;Fines;202.1
10056;NA;ALSRC1003;NA;Breccia;186.00
10057;NA;ALSRC1003;NA;Basalt;919.00
10058;NA;ALSRC1003;NA;Basalt;282.00
10059;NA;ALSRC1003;NA;Breccia;188.00
10060;NA;ALSRC1004;NA;Breccia;722.00
10061;NA;ALSRC1004;NA;Breccia;346.00
10062;NA;ALSRC1004;NA;Basalt;78.5
10063;NA;ALSRC1004;NA;Breccia;148.00
10064;NA;ALSRC1004;NA;Breccia;65.00
10065;NA;ALSRC1004;NA;Breccia;347.00
10066;NA;ALSRC1004;NA;Breccia;40.00
10067;NA;ALSRC1004;NA;Breccia;69.3
10068;NA;ALSRC1004;NA;Breccia;218.00
10069;NA;ALSRC1004;NA;Basalt;119.5
10070;NA;ALSRC1004;NA;Breccia;64.00
10071;NA;ALSRC1004;NA;Basalt;189.5
10072;NA;ALSRC1004;NA;Gabbro;447.00
10073;NA;ALSRC1004;NA;Breccia;124.5
10074;NA;ALSRC1004;NA;Breccia;55.5
10075;NA;ALSRC1004;NA;Breccia;53.00
10082;NA;ALSRC1004;NA;Breccia;50.5
10084;NA;ALSRC1003;NA;Fines;3830.00
10085;NA;ALSRC1003;NA;Fines;569.00
10086;NA;ALSRC1003;NA;Fines;823.00
10087;NA;ALSRC1003;NA;Chips & fines;17.4
10089;NA;ALSRC1003;NA;Fines;50.00
10090;NA;ALSRC1003;NA;Fines;12.00
10091;NA;ALSRC1003;NA;Breccia;23.9
10092;NA;ALSRC1003;NA;Basalt;46.00
10093;NA;ALSRC1004;NA;Breccia;26.00
10094;NA;ALSRC1004;NA;Breccia;25.00
