sample ID;serial number;return container;Container;sample type;weight (g)
12001;NA;selected sample;NA;fines;2216.00
12002;NA;selected sample;NA;medium-grained vuggy crystalline igneous rocks;1529.5
12003;NA;selected sample;NA;fines;300.00
12004;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;585.00
12005;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;482.00
12006;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;206.4
12007;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;65.2
12008;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;58.4
12009;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;468.2
12010;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;360.00
12011;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;193.00
12012;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;176.2
12013;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;82.3
12014;NA;selected sample;NA;medium-grained vuggy crystalline igneous rocks;159.4
12015;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;191.2
12016;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;2028.3
12017;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;53.00
12018;NA;selected sample;NA;medium-grained vuggy crystalline igneous rocks;787.00
12019;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;462.4
12020;NA;selected sample;NA;fine-grained vesicular crystalline igneous rocks;312.00
12021;NA;selected sample;NA;medium-grained vuggy crystalline igneous rocks;1876.6
12022;NA;selected sample;NA;medium-grained vuggy crystalline igneous rocks;1864.3
12023;NA;special samples;LESC;fines;269.3
12024;NA;special samples;GASC;fines;56.5
12025;2010;special samples;Drive tube;fines;56.1
12026;2013;special samples;Drive tube;fines;101.4
12027;2011;special samples;Drive tube;fines;80.00
12028;2012;special samples;Drive tube;fines;189.6
12029;NA;special samples;NA;fines;6.5
12030;NA;documented sample;bag 1-D;fines;75.00
12031;NA;documented sample;bag 3-D;medium-grained vuggy crystalline igneous rocks;185.00
12032;NA;documented sample;bag 4-D;fines;310.5
12033;NA;documented sample;bag 5-D;fines;450.00
12034;NA;documented sample;bag 6-D;Breccia;155.00
12035;NA;documented sample;bag 7-D;medium-grained vuggy crystalline igneous rocks;71.00
12036;NA;documented sample;bag 8-D;medium-grained vuggy crystalline igneous rocks;75.00
12037;NA;documented sample;bag 8-D;fines;145.00
12038;NA;documented sample;bag 9-D;fine-grained vesicular crystalline igneous rocks;746.00
12039;NA;documented sample;bag 10-D;medium-grained vuggy crystalline igneous rocks;255.00
12040;NA;documented sample;bag 10-D;medium-grained vuggy crystalline igneous rocks;319.00
12041;NA;documented sample;bag 11-D;fines;46258.00
12042;NA;documented sample;bag 12-D;fines;255.00
12043;NA;documented sample;bag 14-D;fine-grained vesicular crystalline igneous rocks;60.00
12044;NA;documented sample;bag 14-D;fines;92.00
12045;NA;documented sample;bag 15-D;fine-grained vesicular crystalline igneous rocks;63.00
12046;NA;documented sample;bag 15-D;fine-grained vesicular crystalline igneous rocks;166.00
12047;NA;documented sample;bag 15-D;fine-grained vesicular crystalline igneous rocks;193.00
12048;NA;documented sample;bag 7-D;fines;2.00
12050;NA;documented sample;NA;chips;1.00
12051;NA;documented sample;D-ALSRC;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;1660.00
12052;NA;documented sample;D-ALSRC;fine-grained vesicular crystalline igneous rocks;1866.00
12053;NA;documented sample;D-ALSRC;fine-grained vesicular crystalline igneous rocks;879.00
12054;NA;documented sample;D-ALSRC;medium-grained vuggy crystalline igneous rocks;687.00
12055;NA;documented sample;NA;medium-grained vuggy crystalline igneous rocks;912.00
12056;NA;documented sample;D-ALSRC;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;121.00
12057;NA;documented sample;NA;fines and chips;650.00
12060;NA;tote bag sample;NA;fines;20.7
12061;NA;tote bag sample;NA;chips;9.5
12062;NA;tote bag sample;tote bag;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;738.7
12063;NA;tote bag sample;tote bag;fine-grained vesicular crystalline igneous rocks;2426.00
12064;NA;tote bag sample;tote bag;medium-grained vuggy crystalline igneous rocks;1214.3
12065;NA;tote bag sample;tote bag;fine-grained vesicular crystalline igneous rocks and medium-grained vuggy crystalline igneous rocks;2109.00
12070;NA;contingency sample;NA;fines;1102.00
12071;NA;contingency sample;NA;chips;9.16
12072;NA;contingency sample;NA;fine-grained vesicular crystalline igneous rocks;103.6
12073;NA;contingency sample;NA;Breccia;407.65
12075;NA;contingency sample;NA;fine-grained vesicular crystalline igneous rocks;232.5
12076;NA;contingency sample;NA;fine-grained vesicular crystalline igneous rocks;54.55
12077;NA;contingency sample;NA;fine-grained vesicular crystalline igneous rocks;22.63
