sample ID;serial number ;return container;Container;sample type;weight (g)
70001;179;DSB;Drill core bit;NA;29.78
70002;70;DSB;Drill core stem ;NA;207.8
70003;62;DSB;Drill core stem ;NA;237.8
70004;66;DSB;Drill core stem ;NA;238.8
70005;69;DSB;Drill core stem ;NA;240.7
70006;65;DSB;Drill core stem ;NA;234.2
70007;63;DSB;Drill core stem ;NA;179.4
70008;67;DSB;Drill core stem ;NA;261
70009;61;DSB;Drill core stem top;NA;143.3
70010;NA;DSB;NA;Fines outside stem ;3.92
70011;NA;SCB5;SESC;NA;440.7
70012;2052;BSLSS;Drive tube ;NA;434.8
70017;NA;BSLSS;NA;coarse basalt;2957
70018;NA;SRC1;SCB1;dark matrix breccia;51.58
70019;NA;SRC2;DB469;agglutinate;159.9
70030;NA;SCB2;NA;SCB residue ;33.92
70035;NA;SCB2;NA;coarse basalt;5765
70040;NA;NA;suit pockets;fragments;2.494
70050;NA;BSLSS;NA;BSLSS residue unsieved;573.4
70051;NA;BSLSS;NA;BSLSS residue <1mm;1438
70052;NA;BSLSS;NA;BSLSS residue 1-2mm;67.76
70053;NA;BSLSS;NA;BSLSS residue 2-4mm;86.93
70054;NA;BSLSS;NA;BSLSS residue 4-10mm;94.41
70060;NA;SCB7;DB15E;dust and sweepings;0.24
70061;NA;SCB7;DB15E;<1mm fines;60.8
70062;NA;SCB7;DB15E;1-2mm fines;2.12
70063;NA;SCB7;DB15E;2-4mm fines;1.24
70064;NA;SCB7;DB15E;4-10mm fines;0.86
70070;NA;BSLSS;DB108;dust and sweepings;0.11
70075;NA;BSLSS;DB108;fine basalt;5.64
70130;NA;SCB2;DB10E;DB residue ;12.18
70135;NA;SCB2;DB10E;coarse basalt;446.3
70136;NA;SCB2;DB10E;coarse basalt;10.65
70137;NA;SCB2;DB10E;coarse basalt;6.16
70138;NA;SCB2;DB10E;coarse basalt;3.66
70139;NA;SCB2;DB10E;coarse basalt;3.16
70145;NA;SCB2;DB10E;coarse basalt;3.07
70146;NA;SCB2;DB10E;coarse basalt;1.71
70147;NA;SCB2;DB10E;coarse basalt;1.35
70148;NA;SCB2;DB10E;coarse basalt;0.92
70149;NA;SCB2;DB10E;coarse basalt;0.95
70155;NA;SCB2;DB10E;coarse basalt;0.77
70156;NA;SCB2;DB10E;coarse basalt;0.63
70157;NA;SCB2;DB10E;coarse basalt;0.57
70160;NA;SCB1;DB474;unsieved fines ;106.1
